0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.745006277384638530e-04,-3.082779335181546265e-04,-1.281741792068209827e-04,3.398520901335919673e-04,-3.216614523085798951e-05,1.700847773272060818e-04,5.723695025560507918e-04,-7.269388847773821088e-04,-5.778551527523684284e-04,2.785040655632504795e-03
-7.483493734787600039e-04,-6.160262019900372048e-04,-2.560758163153578973e-04,6.793642712085675491e-04,-6.419437438218346002e-05,3.400839613712334109e-04,1.144123809488283190e-03,-1.452838552403458612e-03,-1.154819526820392937e-03,5.566713079071876694e-03
-1.121547125552757292e-03,-9.232455216607324613e-04,-3.837052986285894403e-04,1.018536928279673189e-03,-9.608490142401245710e-05,5.099976153903765588e-04,1.715263649230745410e-03,-2.177700356772780451e-03,-1.730894300324900548e-03,8.345021465958092632e-03
-1.494094771148076666e-03,-1.229936607854706290e-03,-5.110630129447725012e-04,1.357370445933377351e-03,-1.278379400414945456e-04,6.798258025799328551e-04,2.285789749317645569e-03,-2.901525650057373666e-03,-2.306080649881658319e-03,1.111997000666256966e-02
-1.865993196309543526e-03,-1.536100174976960317e-03,-6.381493455580860164e-04,1.695865208288451767e-03,-1.594537036352574742e-04,8.495685860722735922e-04,2.855702836384488470e-03,-3.624315782708917126e-03,-2.880379750603274600e-03,1.389156288629464671e-02
-2.237243285940641261e-03,-1.841736936514196555e-03,-7.649646822592708105e-04,2.034021598996558090e-03,-1.909324053217716912e-04,1.019226028936917345e-03,3.425003636169188757e-03,-4.346072103460913751e-03,-3.453792776101100286e-03,1.665980428470839950e-02
-2.607845923804949333e-03,-2.146847605035992132e-03,-8.915094083362718781e-04,2.371840001242827081e-03,-2.222742579337140534e-04,1.188798194180603696e-03,3.993692873513202818e-03,-5.066795959330870625e-03,-4.026320898487107530e-03,1.942469837650905376e-02
-2.977801992527599577e-03,-2.451432892195952451e-03,-1.017783908574875027e-03,2.709320797746440392e-03,-2.534794740203308305e-04,1.358285144747366311e-03,4.561771272362645513e-03,-5.786488695622447019e-03,-4.597965288375835229e-03,2.218624933105978539e-02
-3.347112373596713639e-03,-2.755493508732873888e-03,-1.143788567259348184e-03,3.046464370761209090e-03,-2.845482658478010489e-04,1.527686943518605581e-03,5.129239555769415579e-03,-6.505151655927649684e-03,-5.168727114886224362e-03,2.494446131248818921e-02
